Name,revised_gender,UniversityType,Institution,college_names,archive_link,college_url,scholar_profile_url,State,Specialisation,AreaofInterest,UGDegree,UGDepartment,UGInstitute,PGDegree,PGDepartment,PGInstitute,MPhil,MPhilDepartment,MPhilInstitute,Doctoral,DoctoralDepartment,DoctoralInstitute,FirstJobPosition,FirstJobInstitution,FirstJobDuration,SecondJobPosition,SecondJobInstitution,SecondJobDuration,ThirdJobPosition,ThirdJobInstitution,ThirdJobDuration,FourthJobPosition,FourthJobInstitution,FourthJobDuration,FifthJobPosition,FifthJobInstitution,FifthJobDuration,SixthJobPosition,SixthJobInstitution,SixthJobDuration,SeventhJobPosition,SeventhJobInstitution,SeventhJobDuration,EightJobPosition,EightJobInstitution,EightJobDuration,NinthJobPosition,NinthJobInstitution,NinthJobDuration,TenthJobPosition,TenthJobInstitution,TenthJobDuration,EleventhJobPosition,EleventhJobInstitution,EleventhJobDuration,TwelfthJobPosition,TwelfthJobInstitution,TwelfthJobDuration,ThirteenthJobPosition,ThirteenthJobInstitution,ThirteenthJobDuration,FourteenthJobPosition,FourteenthJobInstitution,FourteenthJobDuration,FifteenthJobPosition,FifteenthJobInstitution,FifteenthJobDuration,unique_id,university_type,name,institution,UniversityType_id,State_id,Name_id,Institution_id,unique_id_1,Current_Designation,dept,state,CurrentDesignation_r,identifier
A Lavanya Kumari,Female,State,Adikavi Nannaya University,Adikavi Nannaya University,,,,Andhra Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3010020001,State,A Lavanya Kumari,Adikavi Nannaya University,6,1,1,2,6010020001,Assistant Professor,Economics,Andhra Pradesh,Assistant Professor,
A Sambasiva Rao,Male,State,Kakatiya University,Kakatiya University,,,,Telangana,,,,,,,,,M.Phil.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3281280002,State,A Sambasiva Rao,Kakatiya University,6,32,2,172,6321720002,Assistant Professor,Economics,Telangana,Assistant Professor,
A. Anbuvel,Male,State,Annamalai University,Annamalai University,,,,Tamil Nadu,"Micro Economics,Welfare Economics Agriculture Economics Health Economics.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3270090003,State,A. Anbuvel,Annamalai University,6,30,3,9,6300090003,Assistant Professor,Economics,Tamil Nadu,Assistant Professor,
A. Gayathri,Female,State,Annamalai University,Annamalai University,,,,Tamil Nadu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3270090004,State,A. Gayathri,Annamalai University,6,30,4,9,6300090004,Assistant Professor,Economics,Tamil Nadu,Assistant Professor,
A. Jayakodi,Male,State,Annamalai University,Annamalai University,,,,Tamil Nadu,Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3270090005,State,A. Jayakodi,Annamalai University,6,30,5,9,6300090005,Assistant Professor,Economics,Tamil Nadu,Assistant Professor,
A. K Sharan,Male,Deemed,Manav Rachna International Institute of Research and Studies,Manav Rachna International Institute of Research and Studies,,,,Haryana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2091580006,Deemed,A. K Sharan,Manav Rachna International Institute of Research and Studies,2,10,6,202,2102020006,Professor & Dean,Economics,Haryana,Professor,
A. K. Srustidhar Chand,Male,Deemed,Indain Institute of Foreigen Trade,Indain Institute of Foreigen Trade,,,,Delhi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2061100007,Deemed,A. K. Srustidhar Chand,Indain Institute of Foreigen Trade,2,7,7,152,2071520007,Assistant Professor,Economics,Delhi,Assistant Professor,
A. Kannan,Male,State,Madurai Kamraj University,Madurai Kamraj University,,,,Tamil Nadu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3271470008,State,A. Kannan,Madurai Kamraj University,6,30,8,191,6301910008,Assistant Professor,Environmental Economics,Tamil Nadu,Assistant Professor,
A. Lakshmi,Female,State,Osmania University,Osmania University,,,,Telangana,,,,,,M.A.,,,M.Phil.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3281790009,State,A. Lakshmi,Osmania University,6,32,9,223,6322230009,Associate Professor,Economics,Telangana,Associate Professor,
A. Logu,Male,State,Annamalai University,Annamalai University,,,,Tamil Nadu,"Industrial Economics, Monetary Economics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3270090010,State,A. Logu,Annamalai University,6,30,10,9,6300090010,Assistant Professor,Economics,Tamil Nadu,Assistant Professor,
A. Nandini,Female,Deemed,Dr. M.G.R. Educational and Research Institute,Dr. M.G.R. Educational and Research Institute,,,,Tamil Nadu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2270800011,Deemed,A. Nandini,Dr. M.G.R. Educational and Research Institute,2,30,11,80,2300800011,Assistant Professor,Economics,Tamil Nadu,Assistant Professor,
A. Narayanamoorthy,Male,State,Alagappa University,Alagappa University,,,,Tamil Nadu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3270040012,State,A. Narayanamoorthy,Alagappa University,6,30,12,4,6300040012,Senior Professor & HOD,Economics,Tamil Nadu,,
A. Pallavi,Female,State,Andhra University,Andhra University,,,,Andhra Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3010080013,State,A. Pallavi,Andhra University,6,1,13,8,6010080013,Honorary Director,Centre for Dr. Durgabai Deshmukh Women's Studies,Andhra Pradesh,Professor,
A. Ramya,Female,State,Annamalai University,Annamalai University,,,,Tamil Nadu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3270090014,State,A. Ramya,Annamalai University,6,30,14,9,6300090014,Assistant Professor,Economics,Tamil Nadu,Assistant Professor,
A. S. Pawar,Male,State,Dr. Babasaheb Ambedkar Marathwada University,Dr. Babasaheb Ambedkar Marathwada University,,,,Maharashtra,Economics,,,,,,,,,,,Ph.D.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3170770015,State,A. S. Pawar,Dr. Babasaheb Ambedkar Marathwada University,6,20,15,77,6200770015,Professor,Economics,Maharashtra,Professor,
A. Sangamithra,Female,State,Bharathiar University,Bharathiar University,,,,Tamil Nadu,"Health Economics, Medical Economics, Mental Health",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3270260016,State,A. Sangamithra,Bharathiar University,6,30,16,26,6300260016,Professor,Economics,Tamil Nadu,Professor,
A. Sankaran,Male,Central,Pondicherry University,Pondicherry University,,,,Pondicherry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1231830017,Central,A. Sankaran,Pondicherry University,1,26,17,227,1262270017,Associate Professor,Economics,Pondicherry,Associate Professor,
A. Saravanadurai,Male,State,Periyar University,Periyar University,,,,Tamil Nadu,"Agricultural Economics , Rural Development",,B.A,"MADURA COLLEGE, MADURAI ( 1990 )",,M.A.,,"BHARATHIAR UNIVERSITY, COIMBATORE ( 1993 )",,,"BHARATHIAR UNIVERSITY, COIMBATORE ( 2000 )",,,,,ASSISTANT PROFESSOR,SRI RAMALINGA SOWDESWARI COLLEGE FOR SCIENCE AND COMMENCE,( 2000 - 2005 ),ASSISTANT PROFESSOR,"PERIYAR UNIVERSITY, SALEM",( 2005 - 2017 ),ASSOCIATE PROFESSOR,"PERIYAR UNIVERSITY, SALEM",( 2017 - 2020 ),PROFESSOR,"PERIYAR UNIVERSITY, SALEM",( 2020 - Present ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3271820018,State,A. Saravanadurai,Periyar University,6,30,18,226,6302260018,PROFESSOR,Economics,Tamil Nadu,Professor,
A. Sugirtha Rani,Female,State,Periyar University,Periyar University,,,,Tamil Nadu,"Health Economics , Economics of Education , Labour Economics , Nutrition Economics , Gender Economics , Social Exclusion and Inclusive Policy",,B.A,"STC, Thirunelveli ( 1995 )",,M.A.,,"Bharathiar Univ., Cbe ( 1997 )",,,,Ph.D.,,"Bharathiar Univ., Cbe ( 2002 )",Project Fellow,"Bharathiar Univ., Cbe",( 1997 - 2001 ),Lecture,"LVCASW,Cbe",( 2003 - 2004 ),Lecture,"PU,Salem",( 2005 - 2015 ),Associate Professor,"GRI,Dindugul",( 2015 - 2016 ),Associate Professor,"PU,Salem",( 2016 - 2019 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3271820019,State,A. Sugirtha Rani,Periyar University,6,30,19,226,6302260019,Associate Professor,Economics,Tamil Nadu,Associate Professor,
A. V. Mansare,Male,State,Kavayitri Bahinabai Chadhari North Maharashtra University,Kavayitri Bahinabai Chadhari North Maharashtra University,,,,Maharashtra,"Micro Economics, International Economics",,,,,M.A.,,,M.Phil.,,,Ph.D.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3171360020,State,A. V. Mansare,Kavayitri Bahinabai Chadhari North Maharashtra University,6,20,20,180,6201800020,Assistant Professor (Contractual),"School of Social Sciences, Economics",Maharashtra,Assistant Professor,
Aakanksha Kaushik,Female,State,Delhi Technological University (East Campus),Delhi Technological University (East Campus),,,,Delhi,"Public Finance, Microeconomics, Econometrics",,B.A.,,,M.A.,,,M.Phil.,Economics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3060670022,State,Aakanksha Kaushik,Delhi Technological University (East Campus),6,7,30,67,6070670030,Assistant Professor,Humanities,Delhi,Assistant Professor,
Aarti Suryavanshi,Female,Deemed,Manav Rachna International Institute of Research and Studies,Manav Rachna International Institute of Research and Studies,,,,Haryana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2091580023,Deemed,Aarti Suryavanshi,Manav Rachna International Institute of Research and Studies,2,10,31,202,2102020031,Assistant Professor,Economics,Haryana,Assistant Professor,
Aas Mohammad,Male,Central,Jamia Millia Islamia,Jamia Millia Islamia,,,,Delhi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1061210024,Central,Aas Mohammad,Jamia Millia Islamia,1,7,32,166,1071660032,Assistant Professor,Economics,Delhi,Assistant Professor,
Aasheerwad Dwivedi,Male,Central,Delhi University,Delhi University,,,,Delhi,"Applied Microeconomics, Econometrics",,,,,,,,M.Phil.,,,Ph.D.,JNU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1060680025,Central,Aasheerwad Dwivedi,Delhi University,1,7,33,68,1070680033,,Faculty of Management Studies,Delhi,,
Aastha Arora,Female,State,Guru Gobind Singh Indraprastha Vishwavidyalaya,Guru Gobind Singh Indraprastha Vishwavidyalaya,,,,Delhi,,"Managerial Economics, Financial Econometrics, Economic Development and Policy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3060960026,State,Aastha Arora,Guru Gobind Singh Indraprastha Vishwavidyalaya,6,7,34,96,6070960034,Assistant Professor,School of Management Studies,Delhi,Assistant Professor,
Ab. Hamid Mir,Male,State,Islamic University of Sciences & Technology University,Islamic University of Sciences & Technology University,,,,Jammu and Kashmir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3111170027,State,Ab. Hamid Mir,Islamic University of Sciences & Technology University,6,14,35,162,6141620035,Assistant Professor,Economics,Jammu and Kashmir,Assistant Professor,
Abdul Azeez N.p.,Male,Central,Aligarh Muslim University,Aligarh Muslim University,,,,Uttar Pradesh,,"Mathematical Methods, Micro Economics, Indian Economy, Money and Banking, Rural Development, Research Methodology",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300050028,Central,Abdul Azeez N.p.,Aligarh Muslim University,1,34,36,5,1340050036,Assistant Professor,Economics,Uttar Pradesh,Assistant Professor,
Abdul Hannan,Male,State,Magadh University,Magadh University,,,,Bihar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3031480029,State,Abdul Hannan,Magadh University,6,4,37,192,6041920037,Assistant Professor,Economics,Bihar,Assistant Professor,
Abhey Singh,Male,State,Chaudhary Devi Lal University,Chaudhary Devi Lal University,,,,Haryana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3090490030,State,Abhey Singh,Chaudhary Devi Lal University,6,10,38,49,6100490038,Professor,Economics,Haryana,Professor,
Abhijit Banerji,Male,IIT,Indian Institute of Technology Delhi,Indian Institute of Technology Delhi,,,,Delhi,,"Applied Micro and IO, Agricultural Economics, and Experimental and Behavioural economics.",,,,M.Sc.,,Delhi School of Economics,,,,Ph.D.,Yale University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IIT,Abhijit Banerji,Indian Institute of Technology Delhi,5,7,39,156,5071560039,Professor,Humanities and Social Sciences,Delhi,Professor,
