Name,revised_gender,UniversityType,Institution,college_names,archive_link,college_url,scholar_profile_url,State,Specialisation,AreaofInterest,UGDegree,UGDepartment,UGInstitute,PGDegree,PGDepartment,PGInstitute,MPhil,MPhilDepartment,MPhilInstitute,Doctoral,DoctoralDepartment,DoctoralInstitute,FirstJobPosition,FirstJobInstitution,FirstJobDuration,SecondJobPosition,SecondJobInstitution,SecondJobDuration,ThirdJobPosition,ThirdJobInstitution,ThirdJobDuration,FourthJobPosition,FourthJobInstitution,FourthJobDuration,FifthJobPosition,FifthJobInstitution,FifthJobDuration,SixthJobPosition,SixthJobInstitution,SixthJobDuration,SeventhJobPosition,SeventhJobInstitution,SeventhJobDuration,EightJobPosition,EightJobInstitution,EightJobDuration,NinthJobPosition,NinthJobInstitution,NinthJobDuration,TenthJobPosition,TenthJobInstitution,TenthJobDuration,EleventhJobPosition,EleventhJobInstitution,EleventhJobDuration,TwelfthJobPosition,TwelfthJobInstitution,TwelfthJobDuration,ThirteenthJobPosition,ThirteenthJobInstitution,ThirteenthJobDuration,FourteenthJobPosition,FourteenthJobInstitution,FourteenthJobDuration,FifteenthJobPosition,FifteenthJobInstitution,FifteenthJobDuration,unique_id,university_type,name,institution,UniversityType_id,State_id,Name_id,Institution_id,unique_id_1,Current_Designation,dept,state,CurrentDesignation_r,identifier,names_scholar,other_names,position,field,total_citation,h-index,i10-index,profile_since,co-authors
A Lavanya Kumari,Female,State,Adikavi Nannaya University,Adikavi Nannaya University,http://web.archive.org/web/20240801140914/https://www.aknu.edu.in/,https://aknu.edu.in/,https://scholar.google.com/citations?user=LtfQcfUAAAAJ&hl=en,Andhra Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3010020001.0,State,A Lavanya Kumari,Adikavi Nannaya University,6,1,1,2,6010020001,Assistant Professor,Economics,Andhra Pradesh,Assistant Professor,,Lavanya Kumari. P,not found,"Assistant Professor, Department of Statistics and Computer Applications, S.VAgricultural College","Statistics, Operations Research, Research Methodology and SPSS",659,11,16,Since 2019,"KVS SarmaProfessor of Statistics, SV UniversityVerified email at svuniversity.ac.in"
A Sambasiva Rao,Male,State,Kakatiya University,Kakatiya University,http://web.archive.org/web/20240801194803/https://kakatiya.ac.in/,https://www.kakatiya.ac.in/,https://scholar.google.com/citations?user=XPJLpuYAAAAJ&hl=en,Telangana,,,,,,,,,M.Phil.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3281280002.0,State,A Sambasiva Rao,Kakatiya University,6,32,2,172,6321720002,Assistant Professor,Economics,Telangana,Assistant Professor,,Dr. Sambasiva Rao Mukkamala,not found,mvgrce.edu.in,"Algebra, Lattice Theory, Implication Algebras",293,10,10,Since 2019,"Prof. Abdelmohsen Badawy.Professor of pure Mathematics ,Mathematics Dept.,Tanta University,Egypt.Verified email at science.tanta.edu.eg, Dr. M. BALA PRABHAKARAssociate profesor of Mathematics in Aditya Engineering college(A)Verified email at aec.edu.in"
A. Anbuvel,Male,State,Annamalai University,Annamalai University,http://web.archive.org/web/20240731112940/https://www.annamalaiuniversity.ac.in/,https://www.annamalaiuniversity.ac.in/,https://scholar.google.com/citations?user=xqC-sHsAAAAJ&hl=en,Tamil Nadu,"Micro Economics,Welfare Economics Agriculture Economics Health Economics.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3270090003.0,State,A. Anbuvel,Annamalai University,6,30,3,9,6300090003,Assistant Professor,Economics,Tamil Nadu,Assistant Professor,,Dr. Mohd Asif Shah,not found,"Dean of Faculty, Kardan University, Kabul, Afghanistan","Economics, Statistics, Research Methodology, Data Science",161,8,6,Since 2019,"Nasreen KausarYildiz Technical University,Istanbul, TurkeyVerified email at yildiz.edu.tr, Yalalem AssefaAssistant Professor, Woldia UniversityVerified email at wldu.edu.et, Praveen AgarwalVice Principal | Chief Coordinator-International Relations, Anand-ICE || Advisor || FounderVerified email at anandice.ac.in, Dr. Shouket Ahmad TilwaniAssistant Professor, Department of English, College of Science and Humanities, Prince Sattam BinVerified email at psau.edu.sa, Shamneesh SharmaSr. Manager (Academics), upGrad Education Private Limited, IndiaVerified email at upgrad.com, Chetan SharmaSenior Program ManagerVerified email at upgrad.com, Dr. Sandeep Kumar SinghJIITVerified email at jiit.ac.in, Amal H. AlharbiAssistant professor of Computer Science, Princess Nourah bint Abdulrahman UniversityVerified email at pnu.edu.sa, Eishita SharmaResearch ScholarVerified email at smvdu.ac.in, Dr.Naveen Kumar GondhiShri Mata Vaishno Devi UniversityVerified email at smvdu.ac.in, Rohit VermaAssistant Professor, National College of Ireland, Dublin, Ireland.Verified email at ncirl.ie, Dr. Saroj Kumar PandeyGLA, University Mathura, IndiaVerified email at nitrr.ac.in"
A. Gayathri,Female,State,Annamalai University,Annamalai University,http://web.archive.org/web/20240731112940/https://www.annamalaiuniversity.ac.in/,https://www.annamalaiuniversity.ac.in/,https://scholar.google.com/citations?user=A9mrZ-MAAAAJ&hl=en,Tamil Nadu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3270090004.0,State,A. Gayathri,Annamalai University,6,30,4,9,6300090004,Assistant Professor,Economics,Tamil Nadu,Assistant Professor,,Dr.A.Gayathri,not found,"PROFESSOR, SAVEETHA SCHOOL OF ENGINEERING, SIMATS","Image Processing, Wireless Communication, Networks and Cloud Computing",22,3,1,Since 2019,"Dr. T. NaliniProfessor, Department of Computer Science and Engineering, Saveetha School of Engineering, ChennaiVerified email at saveetha.com"
A. Jayakodi,Male,State,Annamalai University,Annamalai University,http://web.archive.org/web/20240731112940/https://www.annamalaiuniversity.ac.in/,https://www.annamalaiuniversity.ac.in/,https://scholar.google.com/citations?user=BHdqafUAAAAJ&hl=en,Tamil Nadu,Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3270090005.0,State,A. Jayakodi,Annamalai University,6,30,5,9,6300090005,Assistant Professor,Economics,Tamil Nadu,Assistant Professor,,Murukarthick Jayakodi,not found,"Grain Legume Genomics group, IPK Gatersleben","Plant Genomics, Barley, Faba bean, Pulses",2301,25,32,Since 2019,"Tae-Jin Yang,Seoul National UniversityVerified email at snu.ac.kr, Senthil NatesanDirector, Centre for Plant Molecular Biology and Biotechnology, Tamil Nadu Agricultural UniversityVerified email at tnau.ac.in, Sampath PerumalTeam Lead, PiTeam, Global Institute for Food Security, University of SasakatchewanVerified email at usask.ca, Martin MascherIPK GaterslebenVerified email at ipk-gatersleben.de, Nils SteinLeibniz Institute of Plant Genetics and Crop Plant Research (IPK), Corrensstr. 3, 06466 StadtVerified email at ipk-gatersleben.de, Nomar Espinosa WaminalLeibniz Institute of Plant Genetics and Crop Plant ResearchVerified email at ipk-gatersleben.de, Yeisoo YuDNACAREVerified email at dnacare.co.kr, Nur Kholilatul IzzahResearch Center for Estate Crops, National Research and Innovation AgencyVerified email at brin.go.id, Raveendran MuthurajanTamil Nadu Agricultural University, Coimbatore, IndiaVerified email at tnau.ac.in, Hyun Jo KooPost-doc, Seoul National UniversityVerified email at empal.com, Mona SchreiberUniversity of Marburg, Department of BiologyVerified email at biologie.uni-marburg.de, Dong-Yup LeeAssociate Professor, School of Chemical Engineering, Sungkyunkwan UniversityVerified email at skku.edu, Sang Hyun SungSeoul National UniversityVerified email at snu.ac.kr, Junki LeePh.D. Genome Analysis Center / Senior Researcher, NICEM (National Instrumentation Center forVerified email at snu.ac.kr"
A. K Sharan,Male,Deemed,Manav Rachna International Institute of Research and Studies,Manav Rachna International Institute of Research and Studies,http://web.archive.org/web/20240801023938/https://mriirs.edu.in/,https://mriirs.edu.in/,https://scholar.google.com/citations?user=8jeuaE4AAAAJ&hl=en,Haryana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2091580006.0,Deemed,A. K Sharan,Manav Rachna International Institute of Research and Studies,2,10,6,202,2102020006,Professor & Dean,Economics,Haryana,Professor,,Kishori Sharan,not found,Indrasoft Inc.,not found,117,7,4,Since 2019,not found
A. K. Srustidhar Chand,Male,Deemed,Indain Institute of Foreigen Trade,Indain Institute of Foreigen Trade,http://web.archive.org/web/20130731150243/http://iift.ac.in,https://www.iift.ac.in/,https://scholar.google.com/citations?user=ZkqHVAIAAAAJ&hl=en,Delhi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2061100007.0,Deemed,A. K. Srustidhar Chand,Indain Institute of Foreigen Trade,2,7,7,152,2071520007,Assistant Professor,Economics,Delhi,Assistant Professor,,Arya Kumar Srustidhar Chand,not found,"Assistant Professor, IIFT Delhi",Microeconomic Theory,10,2,0,Since 2019,not found
A. Kannan,Male,State,Madurai Kamraj University,Madurai Kamraj University,No snapshot available,https://mkuniversity.ac.in/,https://scholar.google.com/citations?user=iOKMnfcAAAAJ&hl=en,Tamil Nadu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3271470008.0,State,A. Kannan,Madurai Kamraj University,6,30,8,191,6301910008,Assistant Professor,Environmental Economics,Tamil Nadu,Assistant Professor,,"Kannan Arputharaj,",not found,"Retired Professor, Dept. of Information Science and Tech, CEG Campus, Anna University, Chennai-25.","Database Management Systems, Artificial Intellignce, Networks and Security",8402,47,176,Since 2019,"Ganapathy SannasiAssociate Professor, Department of Computer Science & Engineering Education, NITTTR, Bhopal.Verified email at nitttrbpl.ac.in, Khanna Nehemiah HProfessor, Ramanujan Computing Centre, Anna UniversityVerified email at annauniv.edu, M SelviAssociate Professor, School of Computer Science and Engineering, VIT VelloreVerified email at vit.ac.in, kulothungan KAnna UniversityVerified email at annauniv.edu, Yogesh PalanichamyAnna Univesity, ChennaiVerified email at auist.net, SVN Santhosh KumarAssociate Professor, School of Computer Science Engineering and information systems VIT UniversityVerified email at vit.ac.in, MuthurajkumarAssociate Professor, Anna UniversityVerified email at annauniv.edu, Dr.Vijayalakshmi MuthuswamyProfessor, DIST, Anna UniversityVerified email at annauniv.edu, Bose SundanProfessor, Dept. of CSE, Anna Univesity, Chennai -25, IndiaVerified email at cs.annauniv.edu, Dr. P. Vijayakumar, SMIEEEAssistant Professor & Former Dean, Computer Science & Engineering, Anna UniversityVerified email at aucet.in, Thangaramya KAssistant Professor (Sr.Gr), VIT VelloreVerified email at vit.ac.in, Dr. R. LogambigaiAsst. Prof. (Sr. Gr.), Dept. of CSE, VelTech Rangarajan Dr. Sagunthala R &D Inst. of Sci & Tech.Verified email at veltech.edu.in, Baskaran RamachandranAnna UniversityVerified email at annauniv.edu, S.Geetha, SMIEEEProfessor, School of Computer Science and Engineering, VIT - University, Chennai Campus.Verified email at vit.ac.in, Selvamani KAssociate Professor, CSE, Anna University.Verified email at annauniv.edu, Sairamesh LakshmananAssociate Professor, Department of CSE, St.Joseph's Institute of TechnologyVerified email at stjosephstechnology.ac.in, Dr JAISANKAR NARAYANASAMYAnnaUniversityVerified email at mnmjec.ac.in, Sethukarasi ThirumaaranProfessor and Head Computer Science and EngineeringVerified email at rmkec.ac.in, JABEZ ChristopherAssistant Professor, BITS-Pilani (Hyderabad Campus)Verified email at ieee.org, Maruthamuthu KrishnamurthyProfessor of Computer scienceVerified email at kcgcollege.com, View all"
A. Lakshmi,Female,State,Osmania University,Osmania University,No snapshot available,https://www.osmania.ac.in/,https://scholar.google.com/citations?user=4Ylm7XUAAAAJ&hl=en,Telangana,,,,,,M.A.,,,M.Phil.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3281790009.0,State,A. Lakshmi,Osmania University,6,32,9,223,6322230009,Associate Professor,Economics,Telangana,Associate Professor,,A. Lakshmi Narayana,not found,"Professor (Visiting), Department of Mechanical Engineering, University of Texas at El Paso, USA","Lithium ion battery, Supercapacitor, Sodium ion battery, Microsupercapacitors, Thin films",621,15,22,Since 2019,not found
A. Logu,Male,State,Annamalai University,Annamalai University,http://web.archive.org/web/20240731112940/https://www.annamalaiuniversity.ac.in/,https://www.annamalaiuniversity.ac.in/,https://scholar.google.com/citations?user=10uI8nAAAAAJ&hl=en,Tamil Nadu,"Industrial Economics, Monetary Economics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3270090010.0,State,A. Logu,Annamalai University,6,30,10,9,6300090010,Assistant Professor,Economics,Tamil Nadu,Assistant Professor,,Dr.K.Kottaiveeran,Kandasamy Kottaiveeran,Associate Professor of Economics,International Trade and Environmental Economics,60,2,1,Since 2019,not found
